N°;Désignation;Code Barre;Référence;Unité;Prix de Vente;Niveau d'Alerte;Stock Boutique;Stock Atelier;Stock Magasin1;Stock Magasin2;Stock Magasin3;Qté par Carton;Prix Achat Carton;Prix Achat Unitaire
713;LAIT DAY BY DAY;6181100533729;;BIDON;1 000,00;2;-2,00;0,00;0,00;0,00;0,00;0;0;700
714;LAIT PALMES COCOA;6181100454079;;BIDON;1 250,00;2;1,00;0,00;0,00;0,00;0,00;0;0;950
715;LAIT DE BEAUTÉ PALMES HUILE DE CARROTTE 500ML;6181100456684;;UNITE;1 250,00;2;3,00;0,00;0,00;0,00;0,00;0;0;950
716;LAIT AVOVITA MOYEN;6186000077229;;BIDON;900,00;2;3,00;0,00;0,00;0,00;0,00;0;0;700
717;LAIT AVOVITA GROS;6186000077212;;BIDON;1 300,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1000
718;LAIT DE BEAUTÉ EVER SHEEN COCO BUTTER DE 750ML;6186000077649;;UNITE;1 750,00;2;4,00;0,00;0,00;0,00;0,00;0;0;1450
719;LAIT JAUNE D ŒUF MOYEN;6186000299751;;BIDON;1 250,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1000
720;LAIT ELCLAIRCISSANT PURE WHITE DE 400ML;6043000035300;;UNITE;2 000,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1700
721;CARRO PAA GROS;6033000171474;;BOITE;1 000,00;2;3,00;0,00;0,00;0,00;0,00;0;0;800
722;CREAM COCO PAA GROS;6033000170002;;BOITE;1 000,00;2;1,00;0,00;0,00;0,00;0,00;0;0;800
723;CARO WHITE MOYEN;6181100530056;;UNITE;1 100,00;2;4,00;0,00;0,00;0,00;0,00;0;0;850
724;LAIT EVER SHEEN MOYEN;6186000077410;;BIDON;1 300,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1100
725;CIRE D'ABEILLE 300ML;6186000299508;;UNITE;1 250,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1000
726;CREAM COCO PULP GROS;6181100530339;;BOITE;1 600,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1350
727;LAIT SOLEIL PROTECT 300ML;6186000460328;;UNITE;1 250,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1000
728;LAIT SOLEIL PROTECT GROS;6186000460915;;BIDON;1 500,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1250
729;LAIT CLARIFIANT BELLE VIE DE 475ML;6181100548648;;UNITE;1 800,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1500
730;NIVEA RADIANT;4005900925046;;BIDON;2 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;2250
731;NIVEA AVOCAT;4005900925022;;BIDON;3 000,00;2;2,00;0,00;0,00;0,00;0,00;0;0;2500
732;NIVEA COCO GROS;4005900593429;;BIDON;2 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;2000
733;NIVEA COCO PETIT;4005900369581;;BIDON;1 750,00;2;6,00;0,00;0,00;0,00;0,00;0;0;1350
734;NIVEA CITRON;4005900925046;;BIDON;3 000,00;2;3,00;0,00;0,00;0,00;0,00;0;0;2500
735;NIVEA PERFECT;4005900378606;;BIDON;2 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;2250
736;VITAMIN WHITE GOLD;6186000113002;;BIDON;1 600,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1250
737;VITAMIN WHITE LAIT COCKTAIL 450ML;6186000460656;;UNITE;1 750,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1250
738;LAIT WHITE SECRET 300ML;6028050090288;;UNITE;1 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1100
739;LAIT WHITE SECRET 500ML;6028050098819;;UNITE;2 250,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1750
740;GEL DE DOUCHE EVER SHEEN G;;;BIDON;1 750,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1500
741;LAIT JAUNE D ŒUF GROS;6186000460144;;BIDON;1 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1250
742;LAIT LEMON CLEAR 500ML;6043000030565;;UNITE;1 750,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1500
744;GLUTA WHITE LAIT CLARIFIANT ANTI AGE  250ML;6182000127339;;UNITE;1 600,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1350
745;LAIT LIGHT UP 400ML;6043000036963;;UNITE;1 750,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1400
746;LAIT AFRICA QUEEN G;6181100313376;;BIDON;1 250,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1000
747;CITRO LIGHT 300ML;6181100532692;;UNITE;1 100,00;2;1,00;0,00;0,00;0,00;0,00;0;0;900
